metric	source	count	note
Panel C | tissue | Haematopoietic and Lymphoid	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Breast	PXD003539	6	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Breast	PXD030304	50	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Breast	PXD004701	76	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Skin	PXD003539	9	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Skin	PXD030304	54	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Skin	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Central Nervous System	PXD003539	6	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Central Nervous System	PXD030304	53	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Central Nervous System	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Large Intestine	PXD003539	7	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Large Intestine	PXD030304	47	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Large Intestine	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Ovary	PXD003539	6	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Ovary	PXD030304	41	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Ovary	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Kidney	PXD003539	8	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Kidney	PXD030304	32	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Kidney	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Bone	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Bone	PXD030304	40	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Bone	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Head and Neck	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Head and Neck	PXD030304	39	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Head and Neck	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Esophagus	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Esophagus	PXD030304	35	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Esophagus	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Pancreas	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Pancreas	PXD030304	30	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Pancreas	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Peripheral Nervous System	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Peripheral Nervous System	PXD030304	30	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Peripheral Nervous System	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Stomach	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Stomach	PXD030304	27	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Stomach	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Soft Tissue	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Soft Tissue	PXD030304	22	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Soft Tissue	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Bladder	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Bladder	PXD030304	18	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Bladder	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Liver	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Liver	PXD030304	16	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Liver	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Thyroid	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Thyroid	PXD030304	15	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Thyroid	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Cervix	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Cervix	PXD030304	13	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Cervix	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Prostate	PXD003539	2	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Prostate	PXD030304	8	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Prostate	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Endometrium	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Endometrium	PXD030304	10	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Endometrium	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Biliary Tract	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Biliary Tract	PXD030304	4	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Biliary Tract	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Other tissue	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Other tissue	PXD030304	4	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Other tissue	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Vulva	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Vulva	PXD030304	3	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Vulva	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Testis	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Testis	PXD030304	3	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Testis	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Placenta	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Placenta	PXD030304	2	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Placenta	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Small Intestine	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Small Intestine	PXD030304	1	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Small Intestine	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Adrenal Gland	PXD003539	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Adrenal Gland	PXD030304	1	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Adrenal Gland	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel D | accession Venn | PXD003539_only	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	244	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
Panel D | accession Venn | PXD030304_only	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	2797	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
Panel D | accession Venn | PXD004701_only	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	140	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
Panel D | accession Venn | PXD003539+PXD030304	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	1078	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
Panel D | accession Venn | PXD003539+PXD004701	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	74	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
Panel D | accession Venn | PXD030304+PXD004701	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	575	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
Panel D | accession Venn | all_three	UniProt accessions extracted from Protein.Group (extract_accessions_diann)	5467	PXD003539 from pr_matrix; PXD030304/PXD004701 from cached per-tissue/per-subtype JSON
